name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
Vedrana,Spain,Budget Double Room,1 night ·,March 2026,Couple,Great value for money,"Great location, they turned an old hotel into a very cute vintage place with a lot of charm. It was very clean, we had plenty of towels in the bathroom and the room was really big.",The wifi could have been better as it kept disconnecting quite often.,,9.0
Matthew,United Kingdom,Budget Double Room,4 nights ·,March 2026,Couple,No hot water one morning and 2 fire alarms early hours of the morning,location and view from room,,,8.0
Jeffrey,United States,Budget Single Room,2 nights ·,March 2026,Solo traveller,Good,Nice location.,"The decor was a little odd. I don't recall all the old novelty bumper carts in any pictures of the hotel, but I could be wrong. Nice location. I could not get the air or fan to turn on in room, so the room was a tad warm for me.",,7.0
Neil,United Kingdom,Budget Single Room,4 nights ·,March 2026,Solo traveller,"Superb hotel in an awesome location. Apart from the Wi-Fi, (a small detail) everything was great.","The room was clean, comfortable and excellent value for money for a budget room. The staff were really friendly and helpful, I highly recommend staying at this hotel.",The Wi-Fi signal was weak or unusable for my laptop Internet. The Wi-Fi signal was adequent for all my Smartphone usage.,,9.0
James,United Kingdom,Twin Room,3 nights ·,February 2026,Solo traveller,Very good,The Art Deco design and the quirky displayed items.,One of the lifts kept breaking down.,,8.0
Tim,United Kingdom,Budget Double Room,1 night ·,March 2026,Solo traveller,Good value for a short stay,Good locations very central,Restricted time for breakfast,,7.0
Francesco,Italy,Budget Double Room,1 night ·,March 2026,Couple,Good experience,"The hotel has got a sort of museum of toys, strange but fun. Hosted in an old buildin it needs a bit of refresh but is a good value for money solution.",,,8.0
Vitória,Germany,Budget Double Room,2 nights ·,January 2026,Couple,I recommend it for anyone who wants to explore central Portugal.,"Very well located, good accommodations, and very polite staff.",,,9.0
Dutta,Belgium,Basic Double Room,1 night ·,February 2026,Couple,Superb,The location was great with an awesome breakfast spread. Though the rooms were a bit small but all facilities were available,A pair of disposable slippers and some body lotion in the toiletries will be a nice addition,,9.0
John,United Kingdom,Superior Double Room,2 nights ·,February 2026,Couple,Very good,Unique,,,8.0
Rafaela,United Kingdom,Budget Double Room,3 nights ·,February 2026,Couple,"Fantastic location, lovely staff, quirky hotel!","Lovely staff. The breakfast lady was superb, would ensure that our food preferences were available. I felt incredibly sick whilst I was leaving the hotel, the receptionist (a man) ensured me that everything was going to be okay. Once again, felt supported and taken care of.",I was there was a garden area…,,9.0
Marcio,Luxembourg,Triple Room,5 nights ·,February 2026,Family,"For those who want to explore Porto, very strategic place to stay.","The location was wonderful, within walking distance of many landmarks. The room was quite ok, given it's not a hotel for long stays. The breakfast was ok as well.","The transfer from the airport was included in my package, but for some reason, the driver wasn't there. Maybe because my flight had an hour delay, but except for that, it was all good.",,9.0
Mirjana,Serbia,Triple Room,1 night ·,February 2026,Group,Very good,Great location! Clean and spaciuos room. Everthing was fine. Breakfest could be better.,,,8.0
Federico,Spain,Budget Double Room,3 nights ·,February 2026,Couple,Awesome,"Great staff, super clean, spacious and comfortable room and let’s not forget great location!",,,9.0
Andrew,Germany,King Room,1 night ·,February 2026,Couple,Love to stay again but please improve the breakfast,"Great location, interior design was spectacular and the room was awesome.",Breakfast was dull.,,8.0
Hoffman,Portugal,Twin Room,8 nights ·,February 2026,Couple,Charming vintage hotel conveniently located near many points of interest,Staff was very kind and efficient. The vintage decor is charming. Location is very near Bolhão market and Santa Catarina. Multiple great restaurants within walking distance.,Only minor downside was the faint musty smell in the rooms due to the age of the hotel. But everything was spotlessly clean so no worries there. Would definitely stay again when in Porto.,,9.0
Remigiusz,Poland,Single Room,4 nights ·,February 2026,Solo traveller,Good,"The staff is friendly and polite. The location of the hotel is great, that is, in a walking distance to historical city center and to most important touristic attractions. Also, the metro station is very close to the hotel, and Sao Bento train station is in a short distance away.","I didn't like the hotel style. They say it's vintage, but I believe it's just old. Various decorations, like cars or toy machines, fit to this interior like a square peg in a round hole. Breakfasts are very monotonous, especially if you stay for longer than just one night. Also, my room was super small; with a suitcase lying on a floor, there was literally no space left in the room.",,7.0
Begum,Turkey,Triple Room,2 nights ·,February 2026,Group,Very good,-Location,"-Daily complimentary water should be provided in the rooms. -The breakfast was insufficient; the variety definitely needs to be increased. In addition, you cannot enter the breakfast area unless the staff member sees you. Since only one person is working, we sometimes had to wait standing for a long time, and occasionally a queue even formed at the entrance.",,8.0
Christopher,United Kingdom,Budget Double Room,2 nights ·,January 2026,Family,Great location strange hotel but in a good way and friendly staff thank you,Very different from previous hotels Iv stayed in but also great to see all the old antique’s that the hotel has to offer,Not really much I didn’t like about the property no issues,,8.0
Miguel,Canada,Triple Room,4 nights ·,January 2026,Family,Great. To remember for sure. Family friendly.,Great location. Amazing staff. A situation happened and it was taken care on the spot. Great response to my issue. Recommended.,A situation occurred. The staff promptly responded. Such situation shouldn’t occur. That was the only bad side of my stay. Overall I would return.,,8.0
Dimitra,Greece,Budget Double Room,2 nights ·,January 2026,Couple,Superb,"Was really good hotel with all comforts. Nice spot in the city centre, easy to go wherever you like, good price. Nice idea the old objects everywhere gives vintage style to an old building.",,,9.0
John,Ireland,Budget Double Room,1 night ·,January 2026,Couple,Very good,I liked the staff very clear and receptive. Bed was big. Very clean. Right in the heart of the city. Sorted our luggage. Had lots of TV channels.,Window shutters were permanently closed. Had snacks out that were not free.,,8.0
Robert,United States,Twin Room,4 nights ·,January 2026,Group,Very cool hotel,"This is a lovely hotel, with fun decor and a friendly staff. The room was large, the twin beds were oversized, it had two bathrooms, and a huge shared patio. Small fridge, no microwave. Did not do breakfast. It really is a great place. The only problem we had was the spotty internet service.","Internet went in and out, all the time.",,9.0
Yaniv,Israel,Basic Double Room,3 nights ·,January 2026,Couple,Excellent 3 Stars Hotel in the center of Porto.,"We had a wonderful stay at Pão de Açúcar Hotel in Porto. From the moment we arrived, the staff were welcoming and professional, and we were pleasantly surprised with a free upgrade to a Double Room with a Balcony, which made our stay even more special. The room was clean, comfortable, and perfect for relaxing after a full day of exploring the city. The price was excellent for a 3-night stay, especially considering that breakfast was included. Breakfast was fresh, tasty, and a great way to start the day before heading out. The hotel’s location is very convenient, making it easy to explore Porto on foot and reach major attractions. Overall, the value for money was outstanding, and the experience exceeded our expectations. Highly recommended, and we would gladly stay here again on a future visit to Porto.",,,8.0
Judy,Australia,Budget Single Room,3 nights ·,January 2026,Solo traveller,Superb,Great hotel great location,,,9.0
Joy,United Kingdom,Twin Room,1 night ·,January 2026,Group,Very good,Breakfast was good. Old objects brought up old memories.,Parking was in a local garage €24 for 24hrs,,8.0
Andres,Spain,Budget Double Room,4 nights ·,January 2026,Group,Very good,The staff and the location,Nothing in particular,,8.0
Marilu,Puerto Rico,Budget Double Room,2 nights ·,January 2026,Couple,Very good,It's very centric and there are lots of beautiful shops and places to eat from your regular burger to the most traditional Portuguese cuisine. The room was big and comfortable. The bathroom needs a little TLC but it was clean. Breakfast was good.,,,8.0
Yuwakim,Israel,Budget Double Room,3 nights ·,January 2026,Solo traveller,The stuff was great and respectful,It was clean and they have agood and amazing stuff,"The entrance and check-in area were confusing. The check-in is located inside a room that looks like a lobby, but it doesn’t really feel like a proper hotel lobby. Also, the breakfast was disappointing. There were almost no vegetables—only a small amount of cucumber and tomato.",,7.0
Coreen,United States,Budget Single Room,1 night ·,January 2026,Solo traveller,Good,"The location, and breakfast choices were excellent. Each room came with a well stocked refrigerator of goodies and alcohol. There is a roof top bar and great restaurants along the streets. The hotel is 1.5 blocks away from the metro. I would stay again.",The mattress was pure punishment. This was my 2nd or 3rd stay at the hotel and the 1st uncomfortable bed slept in.,,7.0
Shaun,United Kingdom,Triple Room,5 nights ·,January 2026,Family,"Great location, nice breakfast","Location,breakfast,view","Better bar, breakfast i thought was in the price, but charged extra once i arrived",,9.0
Annroma,Poland,Superior Double Room,4 nights ·,December 2025,Couple,Superb,"Perfect location, room was big and clean, comfortable bed, good breakfast",,,9.0
Elshan,United Kingdom,Budget Double Room,1 night ·,December 2025,Couple,A Cheap hotel with many bugs,Location in center. Nice reception guys.,"No potable water in rooms or elsewhere. No irons avaliable at all, you have to order laundry and pay for that. Old and cold rooms, but the air conditioner did its job well. Lighting in the rooms are weak, makes you blind. The curtains are closed all day, so you can't see outside, always dark inside.",,8.0
Clive,United Kingdom,Superior Double Room,4 nights ·,December 2025,Couple,"Comfortable bedroom, good breakfast central location","Good central location, large comfortable bedroom, spotless bathroom with a good breakfast offering",,,8.0
Centanni,United States,Budget Double Room,2 nights ·,December 2025,Couple,Great location/ bad bed!,Great location! Central to everything we wanted to see. 24 hr reception and bag storage was a plus. Elevator was a plus being in the 5th floor! TV and Refrigerator was also a nice addition.,The bed was very uncomfortable. We could feel the bed springs.,,8.0
Pedro,Portugal,Budget Double Room,2 nights ·,December 2025,Couple,Great value for money,"Location, facilities, staff","no bacon at breakfast, and the pancakes were only served in the first day. Some beans would have been nice too.",,9.0
Tom,United Kingdom,Budget Double Room,3 nights ·,November 2025,Couple,"Quirky Hotel, great location.","Location, quirkiness, breakfast.","A musty kind of smell, something like carbolic soap and rooms well worn! Soon became oblivious to the smell but the room especially the bathroom was always well worn!",,7.0
Maijo,United Kingdom,Twin Room,4 nights ·,October 2025,Couple,"As convenient a location as you can get, at an affordable price.","We chose this hotel for the location and it really is very well located for everything. We got a train from the airport and then it was a short walk to the hotel. At first our room, 511, seemed rather small and old, but I got used to it and quite liked it by the time we left. We thought that being in the atrium area near the elevator would be noisy, but not so. In the middle of the city so some noise from such as garbage trucks is inevitable but not intrusive. We noticed the quirky American cultural artefacts in the description before we booked but they had no influence on the booking. One important thing that I noted: not a spec of dust on any of those things; this is a very clean hotel. There was always somebody on reception and the staff were very friendly.","We had a twin room. So, if you have any privacy concerns with your companion, hence twin rather than double, you might be bothered by the bathroom arrangement. The bathroom is separated by a sliding glass door affair that gives no sound privacy at all. It did not trouble us, though. Our room was just about big enough, but I would not call it spacious. As it seemed to be directly underneath the bar on the 6th floor, we could sometimes hear what sounded like chairs being dragged across the floor, but it was only once or twice. I would definitely stay here again.",,7.0
Kiellapa,Poland,Budget Double Room,2 nights ·,November 2025,Couple,Vintage hotel with a unique style.,The vintage style and vibe. All the collected retro toys and bumper cars - this place definitely has a unique climate. They even have proper regular room keys with huge tags. It feels like being transported in time a bit or into a Wes Anderson movie.,Our room had literally no view. It was situated in a way that it had only high windows looking onto the roof and wall of another part of the building. I know that this is something you can't do anything about but the guest should at least know about this. I would book the room anyway but maybe someone else wouldn't.,,8.0
Ronald,Switzerland,Single Room,3 nights ·,November 2025,Solo traveller,Good,They were able to help me even when the booking through booking.com had been canceled,The rooms are very small. The bathroom is too tiny,,7.0
Marzena,Poland,Triple Room,3 nights ·,November 2025,Family,"Great location, great breakfast to start your day in Porto","The location was fantastic for walking around the city, near the market and many beautiful places. The hotel is original and lovely, with great selection of food at breakfast and nice coffee.","The bathrooms look a bit outdated and could use some fixes. All in all, it wasn't bad.",,9.0
Golan,United Kingdom,Budget Double Room,4 nights ·,November 2025,Couple,"Excellent location, friendly, highly recommended if you're not planning to stay long in your room.","Excellent location, clean and tidy, welcoming and helpful staff, vintage style hotel (tired room)",Room is too simple,,9.0
David,United States,Budget Double Room,1 night ·,October 2025,Solo traveller,Superb,Great,Tub and floor a little slippery be careful!,,9.0
Graeme,Ireland,Budget Double Room,3 nights ·,November 2025,Group,Staff helpfull Location and value for money were excelent.,Location was central next to restraraunts and historic town,Matress was fairly hard but didnt impact greatly on the stay. Room next to hotel Generator - Could be Noisy at night,,9.0
Melanie,United Kingdom,Budget Double Room,5 nights ·,November 2025,Couple,Superb,"The excellent location and comfortable accommodation, combined with the ideosyncratic style of the decor.",Nothing of significance!,,9.0
Alpay,Netherlands,Budget Double Room,4 nights ·,November 2025,Couple,Perfect location,Perfect location near everything. The staff were very kind and friendly. Good value for the price.,The breakfast wasn't so good .,,8.0
Emma,United Kingdom,Budget Double Room,3 nights ·,November 2025,Couple,Superb,"Amazing memorabilia collection and interesting architectural design of building. Quite old fashioned in a way with a bit of Wes Anderson film vibe. A unique experience. Really good breakfast buffet including fresh fruit, croquettes and many different cakes and breads. Very well located near beautiful Sao Bento Station and many restaurants.","I would have liked to have known that they would make a pending payment of one night as deposit. Not explained on the Booking.com page so a surprise. I think I would have just paid in advance if I knew. Huge room, great shower but dim lighting.",,9.0
John,Canada,Budget Double Room,2 nights ·,November 2025,Couple,Superb,All about location and on site visual delights of fascinating displays of various mechanical and electric devices.,,,9.0
Emma,United Kingdom,Budget Double Room,2 nights ·,November 2025,Couple,Staff were ok,Very unusual Central to everything,,,8.0
Elena,Italy,Budget Double Room,2 nights ·,November 2025,Couple,Lovely stay,"The hotel is right in city centre, just few steps away from the main attractions. The room was cosy, we opted for a budget room so we were expecting a small room but actually was a decent size. The bed was really comfy, everything was spotless and the staff was super helpful. Overall we had a fantastic stay! The city is beautiful, tidy and everyone is very welcoming with a big smile in their face! Thank you Porto",Everything was perfect,,9.0
Sushel,United States,Budget Double Room,3 nights ·,October 2025,Couple,Satisfied and would recommend,Helpful staff,,,8.0
Dolly,United States,Triple Room,3 nights ·,October 2025,Group,Very good,Great location !,"We had 3 girls in our party. The room was spacious, and as such could have used a table or vanity",,8.0
Martin,United Kingdom,Budget Double Room,1 night ·,October 2025,Couple,Worth it for the collection alone...,"The hotel contains a fabulous collection of mid-century artefacts, including dodgems, phones, typewriters and assorted pieces of funky, kitsch or otherwise rather stylish furniture. If you like this kind of thing - as I do - it's almost worth the cost of a room to enjoy it. Staff are very nice, and the location is great.","This is the second time I've stayed at this hotel - so I obviously like it - but the first time we got an upgrade to a fantastic and huge room at no extra cost. On this occasion we were in a pretty cramped and somewhat overheated room. A bit disappointing, but only because the first visit had been so good.",,7.0
Marcelo,Israel,Budget Double Room,3 nights ·,October 2025,Couple,Very good,"The decoration of the hotel was a beautiful, trip to our childhood.",The room could have been bigger.,,8.0
Harriet,United Kingdom,Budget Double Room,5 nights ·,October 2025,Couple,Very pleasant city break destination,Good choices of restaurants nearby.,Hotel was on a noisy road that kept us awake at night.,,8.0
Susannah,Ireland,Double Room with Terrace,3 nights ·,October 2025,Couple,Mainly a good experience,"Spacious room and balcony with good facilities. We found a lot to like for the breakfast, especially the fresh fruit, cheese, breads, cakes, and cereals. Quirky decor. Great welcome from the check in team, sweet bar manager, and lovely chambermaid.","The room had an odd smell in spite of being spotlessly clean. We wondered if it was a chemical in the cleaning product or maybe it's from the AC. It took us a good while to figure out how to get the bedside lights on. When we spoke to the lady on duty in the morning, she was immediately defensive telling us we hadn't figured out the combination and that ""nobody has complained before."" She eventually said, reluctantly, she'd get the chambermaid to show us. As it happened we found the magic combination on our return but there was still one lamp that didn't work but we were so put off by the staff at reception we didn't report it till the night before we left when we showed photos to the nice man on duty who organised a repair the next day.",,8.0
Eliz,Ireland,Triple Room,4 nights ·,October 2025,Family,Very good,Great location and friendly staff,Bed was a little hard..,,8.0
Robyn,Australia,Superior Double Room,3 nights ·,September 2025,Couple,Good,Location was perfect to walk and see the sights.,nothing,,7.0
Irem,Turkey,Budget Double Room,2 nights ·,October 2025,Group,It was good and nice,"Around the city center, friendly hotel staff",The door lock of the room is a little bit unusual,,8.0
Tammie,United States,Superior Double Room,7 nights ·,October 2025,Couple,Loved our stay there!,Wish parking had been free but otherwise were very happy with the hotel.,,,9.0
Anna,Italy,Budget Double Room,3 nights ·,October 2025,Solo traveller,Very good,"The staff was great, available and friendly. Nice breakfast selection and thanks to the location of the hotel, it is possible to walk basically everywhere.",,,8.0
Frans,Netherlands,Budget Double Room,2 nights ·,October 2025,Couple,Good,Thematic hotel,For north europeans the beds are hard and for people over 1.85 m the beds are too short.,,7.0
Aram,Armenia,Budget Double Room,2 nights ·,October 2025,Couple,Perfect location,the hotel is located in a perfect place so you can reach every point in a few minutes…,,,8.0
Nigel,United Kingdom,Budget Double Room,4 nights ·,September 2025,Couple,Loved staying within easy walking of everything we wanted to see,"The location, the staff, the quirkiness. Also our bedroom and bathroom was really big. The fridge. The rooftop outside seating",The bathroom was lovely and clean but a bit weary. A bit more tabletop space would have been useful and milk sachets. The rooftop bar was lacking,,8.0
Simon,United Kingdom,Budget Double Room,1 night ·,August 2025,Couple,"Good hotel, great staff","super decor and classic vintage displays on every floor. super helpful staff, roof bar nice, breakfast good value",luggage storage expensive,,8.0
Jim,United States,Budget Double Room,3 nights ·,September 2025,Couple,Superb,Great,,,9.0
Donal,United States,Superior Double Room,2 nights ·,September 2025,Couple,"Friendly staff, great location. Eclectic & fun. Noisy even by Portugal standards.",I’d recommend due to location and friendly staff with a caveat…,"Noise level, inside & outside of the hotel. No water, no coffee in the room was definitely a downside. Dropping key at the desk every time you leave was not appreciated.",,8.0
Neal,United States,King Room,3 nights ·,September 2025,Solo traveller,Very good,Location and staff,Small room,,8.0
Vivien,South Africa,Budget Double Room,2 nights ·,September 2025,Couple,Good,Breakfast was good.,No complimentary coffee in the room. Had to go down to ground floor is wanted coffee. Also our bed had a plastic mattress protector which was quite noisy every time you would turn during sleep.,,7.0
Robert,United Kingdom,Budget Double Room,1 night ·,September 2025,Solo traveller,Retro brilliance in a top notch location!,"This retro themed hotel was a lot of fun. It’s in a fantastic location. Central, but not too noisy, on a little side street in the city centre. Some might find the bed a little hard, but I loved it. The room was huge too. And the breakfast was surprisingly good as well. The best part was the service though - very sweet staff made me feel really welcome, and even helped me out by printing off some documents I needed.",Nothing at all to complain about!,,9.0
Joanne,United Kingdom,Budget Single Room,2 nights ·,September 2025,Solo traveller,Very good,Location good,Room waz stuffy and oppressive... despite air-conditioning.,,8.0
Alfred,Portugal,Twin Room,3 nights ·,September 2025,Group,Great place to stay. Would definitely recommend,Nicely done and interesting place. Great location.,Bar was limited,,9.0
Lorraine,United States,Budget Double Room,4 nights ·,September 2025,Couple,Liked this hotel but would look for another room,Clean and safe. Friendly and helpful staff. Great location. All sights within walking distance.,"Rooms are too small, tough to move around in and be comfortable.",,7.0
Simon,New Zealand,Budget Double Room,2 nights ·,September 2025,Couple,Very satisfactory,Great location. And helpful staff,Nothing to add,,8.0
Rolf,United Kingdom,Budget Double Room,9 nights ·,September 2025,Couple,Was a perfect holiday hotel,At reception the reception staff were exceptional. Location was perfect for meals out and as a base for the centre. The room was exceptional and much larger than expected as was the private bathroom. Breakfast was plentiful.,,,9.0
Scott,United States,Budget Double Room,2 nights ·,September 2025,Couple,Good,Location was great!,The beds were uncomfortable,,7.0
Christopher,United Kingdom,Superior Double Room,2 nights ·,September 2025,Group,OK,"very central, helpful staff",breakfast lacked muesli or granola decor rather dated,,7.0
Raul,United States,Superior Double Room,6 nights ·,September 2025,Family,The staff were incredible friendly and helpful. Breakfast excellent!!!!,"Location is great, Porto is a very steep city but the hotel has a few restaurants and attractions within a walking distance. Specially the Restaurant Guarany (traditional place in Porto) only two blocks aways and the food is excellent. The rooms are very spacious and comfortable, but the decor is very old. Breakfast is excellent, every day they offered different pastries and cold meats, a large variety of hot and cold drinks, we really enjoy it every morning. The staff is very hospitable and friendly (restaurant and front desk).","Even though the rooms are very spacious and comfortable the rooms felt quite outdated, could use a refresh (I believe they try to match with the art deco interiors and vintage memorabilia, the hotel is like a museum filled with vintage items), we enjoyed the hotel decor, but the rooms need some attention, new furniture, light fixtures, there is not plugs for cell phones or computers (even if you have an adaptor, only in the bathroom). The bathroom is large and well equipped and a great remodeling job. Everything was functional, so it didn't impact my stay too much (and the size of the room and bathroom were a plus for us)",,7.0
Judith,United Kingdom,Budget Double Room,2 nights ·,September 2025,Couple,Very good,"Excellent location, clean and well appointed room staff all very friendly and helpful","We thought we got a discount on parking but didn't which was annoying as that was what we were told. Not a great fan of the decor in the public areas ,just a bit strange",,8.0
Mercedes,Spain,Superior Double Room,2 nights ·,September 2025,Couple,Superb,Very quirky,Location and price,,9.0
Christine,United Kingdom,Budget Double Room,4 nights ·,September 2025,Couple,"Good value for money, great location, artifacts made us smile","Good location, friendly staff and quirkiness a bit of fun",,,8.0
Mark,United States,Superior Double Room,3 nights ·,September 2025,Couple,Good,Good hotel. Great location.,,,8.0
Vicki,New Zealand,Budget Single Room,4 nights ·,September 2025,Solo traveller,Superb,Staff were so helpful and location was great.,A bit of noise from aircon systems outside window when I was going to bed early.,,9.0
Sharan,United Kingdom,Twin Room,4 nights ·,September 2025,Family,"A quirky stay, the hotel as an eclectic mix of items from the past, it’s a friendly hotel, great location.",The location is excellent a few minutes to the metro about a 5 minute walk to Sao Bento station. A 10 minute walk to the river and the Riberia area. The hotel is exceptional clean. Staff friendly and helpful. Good selection at breakfast.,Nothing,,9.0
Don,United Kingdom,Budget Double Room,2 nights ·,September 2025,Couple,A good price in the city centre but lacking a bit in facilities.,Location and staff are excellent. A character full hotel. A minibar in the room with sensible prices. Superb modern bathroom. Excellent bar on top floor with city views.,No coffee facility in room. Room very small with only walking space around the bed. Generally noisy arising from external machinery. Very small windows. Bed very hard and uncomfortable.,,7.0
Leonard,United States,Budget Double Room,2 nights ·,June 2025,Couple,Fun hotel,"It was a artsy fun hotel, not a luxury place. Good location.",Staff operated according to rules and did not try to be be very accommodating even for simple requests.,,9.0
Ana,United States,Budget Double Room,2 nights ·,September 2025,Solo traveller,Its a good hotel,"Its comfortable and great location. Quiet street. The hotel could get some updates, but is still comfortable. Breakfast was good. Staff is great!",The waiting room kind of smells like old stuff.,,8.0
Terry,United States,Deluxe Double Room with Balcony,5 nights ·,September 2025,Couple,Good,Location,No ice for room,,7.0
Tom,United States,Budget Double Room,2 nights ·,September 2025,Couple,Great hotel and better location in the heart of Porto,Location was perfect. Staff was very nice and informative,The parking situation was not explained in advance. That would have saved time and walking,,9.0
Brian,United States,Budget Single Room,2 nights ·,September 2025,Solo traveller,Very good,Really sweet staff and it's hard to beat the location. Breakfast was worth it. Interesting theme and building. I'd return.,Room smelled like smoke,,8.0
Jessica,United States,Budget Double Room,6 nights ·,August 2025,Couple,Superb,"The rooms and bathroom were large. Also a quiet location. Staff was friendly and accommodating. Breakfast was OK, not bad. Location is central to a lot. Not as close to the river, but there is good food around, better than the food by the river.",,,9.0
Grace,Canada,Budget Double Room,2 nights ·,August 2025,Couple,Good,"Location, clean",,,7.0
Zuzana,Slovakia,Superior Double Room,7 nights ·,August 2025,Couple,Superb,"In the center, very good accessibíity everywhere in the city (sights), near the metro. Breakfast very good - wide selection - also fruit, staff was nice and helpful, clean. I recommend",,,9.0
Paloma,Netherlands,Triple Room,1 night ·,August 2025,Family,"It was nice to see it for once, but would go to another hotel next time","Incredible location, amazing views from the 6th floor terrace with the nicest waiter ever! Big shout to him! (don't know the name, sorry)","Our room was a bit depressing-looking. Don't get me wrong, I love vintage, but the room reminded me of my grandmother's house in Madrid in the 70s in one of the most marginal hoods in Madrid. Virginie: not the most welcoming receptionist; she was way nicer to French guests that checked out before us and she asked them several things, how all went, etc... not much interest in us though : (",,8.0
Shelley,Australia,King Room,3 nights ·,July 2025,Couple,very happy,"location, room size, breakfast, support after husband's hospitalization",wish it had in house restaurant when i was on own,,9.0
Marjorie,Canada,Budget Single Room,4 nights ·,July 2025,Solo traveller,This was a really nice hotel in a good location for everything in Porto.,"The check-in, although I had to wait until 4 pm. The hotel was a little quirky but I liked it. The staff were very nice and friendly and helpful. Breakfast was good. I liked the central location and the attraction booking chalet nearby, and also the supermarket and the fine, old buildings, e.g.the City Hall and the Church behind it. The location was handy for the nightlife. I liked the old tiled buildings across the street and the night life going on on the street. I liked walking around the crowded bars nearby.","The Reception was a bit crowded at times, so small. Hard to get the attention as there were only two persons on at a time.The waiting room area was a bit depressing.",,8.0
William,United States,Twin Room,3 nights ·,July 2025,Family,Great location to explore Porto! Nice hotel but parking was very difficult.,The breakfast was excellent! Our room was very clean and comfortable. The hotel staff was friendly.,"Parking was a nightmare! We used the parking garage not far from the hotel. The hotel said parking would be 24 euros/day at the garage they recommended. When we left the parking garage at 7 am we were charged for the full day, not 7 hours. The parking attendant said that is how we charge. There is no where to park to check in or drop off your luggage at the hotel.",,8.0
Sarah,United Kingdom,Twin Room,4 nights ·,July 2025,Family,Really enjoyed staying at the hotel and would definitely retun,Quirky hotel with friendly staff Close to the main part of Porto Comfy bed. Large wardrobe and gorgeous shower We had two single beds but they were bigger than an average UK single Small rooftop terrace,This is being picky but there is not a restroom on the same floor as the roof terrace so you have to go back down to your room,,9.0
Paul,United Kingdom,Budget Double Room,3 nights ·,July 2025,Couple,"Excellent location for walking Porto, very helpful staff",Location excellent,Nothing,,8.0
Mike,United Kingdom,Budget Double Room,3 nights ·,July 2025,Solo traveller,Just a few minutes walk into the centre,"Clean, comfortable and well situated. Without exception all the staff encountered were helpful and friendly with it. It is also great to have an airport taxi arranged within the hotel booking process.",Not a lot!,,8.0
