name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,score,date_parsed,year,month,full_review_text,review_language,sentiment
Vitória,Germany,Budget Double Room,2,January 2026,Couple,I recommend it for anyone who wants to explore central Portugal.,"Very well located, good accommodations, and very polite staff.",,9.0,2026-01,2026,1,"Very well located, good accommodations, and very polite staff.",en,positive
Dutta,Belgium,Basic Double Room,1,February 2026,Couple,Superb,The location was great with an awesome breakfast spread. Though the rooms were a bit small but all facilities were available,A pair of disposable slippers and some body lotion in the toiletries will be a nice addition,9.0,2026-02,2026,2,The location was great with an awesome breakfast spread. Though the rooms were a bit small but all facilities were available A pair of disposable slippers and some body lotion in the toiletries will be a nice addition,en,positive
John,United Kingdom,Superior Double Room,2,February 2026,Couple,Very good,Unique,,8.0,2026-02,2026,2,Unique,fr,positive
Rafaela,United Kingdom,Budget Double Room,3,February 2026,Couple,"Fantastic location, lovely staff, quirky hotel!","Lovely staff. The breakfast lady was superb, would ensure that our food preferences were available. I felt incredibly sick whilst I was leaving the hotel, the receptionist (a man) ensured me that everything was going to be okay. Once again, felt supported and taken care of.",I was there was a garden area…,9.0,2026-02,2026,2,"Lovely staff. The breakfast lady was superb, would ensure that our food preferences were available. I felt incredibly sick whilst I was leaving the hotel, the receptionist (a man) ensured me that everything was going to be okay. Once again, felt supported and taken care of. I was there was a garden area…",en,positive
Marcio,Luxembourg,Triple Room,5,February 2026,Family,"For those who want to explore Porto, very strategic place to stay.","The location was wonderful, within walking distance of many landmarks. The room was quite ok, given it's not a hotel for long stays. The breakfast was ok as well.","The transfer from the airport was included in my package, but for some reason, the driver wasn't there. Maybe because my flight had an hour delay, but except for that, it was all good.",9.0,2026-02,2026,2,"The location was wonderful, within walking distance of many landmarks. The room was quite ok, given it's not a hotel for long stays. The breakfast was ok as well. The transfer from the airport was included in my package, but for some reason, the driver wasn't there. Maybe because my flight had an hour delay, but except for that, it was all good.",en,positive
Mirjana,Serbia,Triple Room,1,February 2026,Group,Very good,Great location! Clean and spaciuos room. Everthing was fine. Breakfest could be better.,,8.0,2026-02,2026,2,Great location! Clean and spaciuos room. Everthing was fine. Breakfest could be better.,en,positive
Federico,Spain,Budget Double Room,3,February 2026,Couple,Awesome,"Great staff, super clean, spacious and comfortable room and let’s not forget great location!",,9.0,2026-02,2026,2,"Great staff, super clean, spacious and comfortable room and let’s not forget great location!",en,positive
Andrew,Germany,King Room,1,February 2026,Couple,Love to stay again but please improve the breakfast,"Great location, interior design was spectacular and the room was awesome.",Breakfast was dull.,8.0,2026-02,2026,2,"Great location, interior design was spectacular and the room was awesome. Breakfast was dull.",en,positive
Hoffman,Portugal,Twin Room,8,February 2026,Couple,Charming vintage hotel conveniently located near many points of interest,Staff was very kind and efficient. The vintage decor is charming. Location is very near Bolhão market and Santa Catarina. Multiple great restaurants within walking distance.,Only minor downside was the faint musty smell in the rooms due to the age of the hotel. But everything was spotlessly clean so no worries there. Would definitely stay again when in Porto.,9.0,2026-02,2026,2,Staff was very kind and efficient. The vintage decor is charming. Location is very near Bolhão market and Santa Catarina. Multiple great restaurants within walking distance. Only minor downside was the faint musty smell in the rooms due to the age of the hotel. But everything was spotlessly clean so no worries there. Would definitely stay again when in Porto.,en,positive
Remigiusz,Poland,Single Room,4,February 2026,Solo traveller,Good,"The staff is friendly and polite. The location of the hotel is great, that is, in a walking distance to historical city center and to most important touristic attractions. Also, the metro station is very close to the hotel, and Sao Bento train station is in a short distance away.","I didn't like the hotel style. They say it's vintage, but I believe it's just old. Various decorations, like cars or toy machines, fit to this interior like a square peg in a round hole. Breakfasts are very monotonous, especially if you stay for longer than just one night. Also, my room was super small; with a suitcase lying on a floor, there was literally no space left in the room.",7.0,2026-02,2026,2,"The staff is friendly and polite. The location of the hotel is great, that is, in a walking distance to historical city center and to most important touristic attractions. Also, the metro station is very close to the hotel, and Sao Bento train station is in a short distance away. I didn't like the hotel style. They say it's vintage, but I believe it's just old. Various decorations, like cars or toy machines, fit to this interior like a square peg in a round hole. Breakfasts are very monotonous, especially if you stay for longer than just one night. Also, my room was super small; with a suitcase lying on a floor, there was literally no space left in the room.",en,neutral
Begum,Turkey,Triple Room,2,February 2026,Group,Very good,-Location,"-Daily complimentary water should be provided in the rooms. -The breakfast was insufficient; the variety definitely needs to be increased. In addition, you cannot enter the breakfast area unless the staff member sees you. Since only one person is working, we sometimes had to wait standing for a long time, and occasionally a queue even formed at the entrance.",8.0,2026-02,2026,2,"-Location -Daily complimentary water should be provided in the rooms. -The breakfast was insufficient; the variety definitely needs to be increased. In addition, you cannot enter the breakfast area unless the staff member sees you. Since only one person is working, we sometimes had to wait standing for a long time, and occasionally a queue even formed at the entrance.",en,positive
Christopher,United Kingdom,Budget Double Room,2,January 2026,Family,Great location strange hotel but in a good way and friendly staff thank you,Very different from previous hotels Iv stayed in but also great to see all the old antique’s that the hotel has to offer,Not really much I didn’t like about the property no issues,8.0,2026-01,2026,1,Very different from previous hotels Iv stayed in but also great to see all the old antique’s that the hotel has to offer Not really much I didn’t like about the property no issues,en,positive
Miguel,Canada,Triple Room,4,January 2026,Family,Great. To remember for sure. Family friendly.,Great location. Amazing staff. A situation happened and it was taken care on the spot. Great response to my issue. Recommended.,A situation occurred. The staff promptly responded. Such situation shouldn’t occur. That was the only bad side of my stay. Overall I would return.,8.0,2026-01,2026,1,Great location. Amazing staff. A situation happened and it was taken care on the spot. Great response to my issue. Recommended. A situation occurred. The staff promptly responded. Such situation shouldn’t occur. That was the only bad side of my stay. Overall I would return.,en,positive
Dimitra,Greece,Budget Double Room,2,January 2026,Couple,Superb,"Was really good hotel with all comforts. Nice spot in the city centre, easy to go wherever you like, good price. Nice idea the old objects everywhere gives vintage style to an old building.",,9.0,2026-01,2026,1,"Was really good hotel with all comforts. Nice spot in the city centre, easy to go wherever you like, good price. Nice idea the old objects everywhere gives vintage style to an old building.",en,positive
John,Ireland,Budget Double Room,1,January 2026,Couple,Very good,I liked the staff very clear and receptive. Bed was big. Very clean. Right in the heart of the city. Sorted our luggage. Had lots of TV channels.,Window shutters were permanently closed. Had snacks out that were not free.,8.0,2026-01,2026,1,I liked the staff very clear and receptive. Bed was big. Very clean. Right in the heart of the city. Sorted our luggage. Had lots of TV channels. Window shutters were permanently closed. Had snacks out that were not free.,en,positive
Robert,United States,Twin Room,4,January 2026,Group,Very cool hotel,"This is a lovely hotel, with fun decor and a friendly staff. The room was large, the twin beds were oversized, it had two bathrooms, and a huge shared patio. Small fridge, no microwave. Did not do breakfast. It really is a great place. The only problem we had was the spotty internet service.","Internet went in and out, all the time.",9.0,2026-01,2026,1,"This is a lovely hotel, with fun decor and a friendly staff. The room was large, the twin beds were oversized, it had two bathrooms, and a huge shared patio. Small fridge, no microwave. Did not do breakfast. It really is a great place. The only problem we had was the spotty internet service. Internet went in and out, all the time.",en,positive
Yaniv,Israel,Basic Double Room,3,January 2026,Couple,Excellent 3 Stars Hotel in the center of Porto.,"We had a wonderful stay at Pão de Açúcar Hotel in Porto. From the moment we arrived, the staff were welcoming and professional, and we were pleasantly surprised with a free upgrade to a Double Room with a Balcony, which made our stay even more special. The room was clean, comfortable, and perfect for relaxing after a full day of exploring the city. The price was excellent for a 3-night stay, especially considering that breakfast was included. Breakfast was fresh, tasty, and a great way to start the day before heading out. The hotel’s location is very convenient, making it easy to explore Porto on foot and reach major attractions. Overall, the value for money was outstanding, and the experience exceeded our expectations. Highly recommended, and we would gladly stay here again on a future visit to Porto.",,8.0,2026-01,2026,1,"We had a wonderful stay at Pão de Açúcar Hotel in Porto. From the moment we arrived, the staff were welcoming and professional, and we were pleasantly surprised with a free upgrade to a Double Room with a Balcony, which made our stay even more special. The room was clean, comfortable, and perfect for relaxing after a full day of exploring the city. The price was excellent for a 3-night stay, especially considering that breakfast was included. Breakfast was fresh, tasty, and a great way to start the day before heading out. The hotel’s location is very convenient, making it easy to explore Porto on foot and reach major attractions. Overall, the value for money was outstanding, and the experience exceeded our expectations. Highly recommended, and we would gladly stay here again on a future visit to Porto.",en,positive
Judy,Australia,Budget Single Room,3,January 2026,Solo traveller,Superb,Great hotel great location,,9.0,2026-01,2026,1,Great hotel great location,en,positive
Joy,United Kingdom,Twin Room,1,January 2026,Group,Very good,Breakfast was good. Old objects brought up old memories.,Parking was in a local garage €24 for 24hrs,8.0,2026-01,2026,1,Breakfast was good. Old objects brought up old memories. Parking was in a local garage €24 for 24hrs,en,positive
Andres,Spain,Budget Double Room,4,January 2026,Group,Very good,The staff and the location,Nothing in particular,8.0,2026-01,2026,1,The staff and the location Nothing in particular,en,positive
Marilu,Puerto Rico,Budget Double Room,2,January 2026,Couple,Very good,It's very centric and there are lots of beautiful shops and places to eat from your regular burger to the most traditional Portuguese cuisine. The room was big and comfortable. The bathroom needs a little TLC but it was clean. Breakfast was good.,,8.0,2026-01,2026,1,It's very centric and there are lots of beautiful shops and places to eat from your regular burger to the most traditional Portuguese cuisine. The room was big and comfortable. The bathroom needs a little TLC but it was clean. Breakfast was good.,en,positive
Yuwakim,Israel,Budget Double Room,3,January 2026,Solo traveller,The stuff was great and respectful,It was clean and they have agood and amazing stuff,"The entrance and check-in area were confusing. The check-in is located inside a room that looks like a lobby, but it doesn’t really feel like a proper hotel lobby. Also, the breakfast was disappointing. There were almost no vegetables—only a small amount of cucumber and tomato.",7.0,2026-01,2026,1,"It was clean and they have agood and amazing stuff The entrance and check-in area were confusing. The check-in is located inside a room that looks like a lobby, but it doesn’t really feel like a proper hotel lobby. Also, the breakfast was disappointing. There were almost no vegetables—only a small amount of cucumber and tomato.",en,neutral
Coreen,United States,Budget Single Room,1,January 2026,Solo traveller,Good,"The location, and breakfast choices were excellent. Each room came with a well stocked refrigerator of goodies and alcohol. There is a roof top bar and great restaurants along the streets. The hotel is 1.5 blocks away from the metro. I would stay again.",The mattress was pure punishment. This was my 2nd or 3rd stay at the hotel and the 1st uncomfortable bed slept in.,7.0,2026-01,2026,1,"The location, and breakfast choices were excellent. Each room came with a well stocked refrigerator of goodies and alcohol. There is a roof top bar and great restaurants along the streets. The hotel is 1.5 blocks away from the metro. I would stay again. The mattress was pure punishment. This was my 2nd or 3rd stay at the hotel and the 1st uncomfortable bed slept in.",en,neutral
Shaun,United Kingdom,Triple Room,5,January 2026,Family,"Great location, nice breakfast","Location,breakfast,view","Better bar, breakfast i thought was in the price, but charged extra once i arrived",9.0,2026-01,2026,1,"Location,breakfast,view Better bar, breakfast i thought was in the price, but charged extra once i arrived",en,positive
Annroma,Poland,Superior Double Room,4,December 2025,Couple,Superb,"Perfect location, room was big and clean, comfortable bed, good breakfast",,9.0,2025-12,2025,12,"Perfect location, room was big and clean, comfortable bed, good breakfast",en,positive
Elshan,United Kingdom,Budget Double Room,1,December 2025,Couple,A Cheap hotel with many bugs,Location in center. Nice reception guys.,"No potable water in rooms or elsewhere. No irons avaliable at all, you have to order laundry and pay for that. Old and cold rooms, but the air conditioner did its job well. Lighting in the rooms are weak, makes you blind. The curtains are closed all day, so you can't see outside, always dark inside.",8.0,2025-12,2025,12,"Location in center. Nice reception guys. No potable water in rooms or elsewhere. No irons avaliable at all, you have to order laundry and pay for that. Old and cold rooms, but the air conditioner did its job well. Lighting in the rooms are weak, makes you blind. The curtains are closed all day, so you can't see outside, always dark inside.",en,positive
Clive,United Kingdom,Superior Double Room,4,December 2025,Couple,"Comfortable bedroom, good breakfast central location","Good central location, large comfortable bedroom, spotless bathroom with a good breakfast offering",,8.0,2025-12,2025,12,"Good central location, large comfortable bedroom, spotless bathroom with a good breakfast offering",en,positive
Centanni,United States,Budget Double Room,2,December 2025,Couple,Great location/ bad bed!,Great location! Central to everything we wanted to see. 24 hr reception and bag storage was a plus. Elevator was a plus being in the 5th floor! TV and Refrigerator was also a nice addition.,The bed was very uncomfortable. We could feel the bed springs.,8.0,2025-12,2025,12,Great location! Central to everything we wanted to see. 24 hr reception and bag storage was a plus. Elevator was a plus being in the 5th floor! TV and Refrigerator was also a nice addition. The bed was very uncomfortable. We could feel the bed springs.,en,positive
Pedro,Portugal,Budget Double Room,2,December 2025,Couple,Great value for money,"Location, facilities, staff","no bacon at breakfast, and the pancakes were only served in the first day. Some beans would have been nice too.",9.0,2025-12,2025,12,"Location, facilities, staff no bacon at breakfast, and the pancakes were only served in the first day. Some beans would have been nice too.",en,positive
Tom,United Kingdom,Budget Double Room,3,November 2025,Couple,"Quirky Hotel, great location.","Location, quirkiness, breakfast.","A musty kind of smell, something like carbolic soap and rooms well worn! Soon became oblivious to the smell but the room especially the bathroom was always well worn!",7.0,2025-11,2025,11,"Location, quirkiness, breakfast. A musty kind of smell, something like carbolic soap and rooms well worn! Soon became oblivious to the smell but the room especially the bathroom was always well worn!",en,neutral
Maijo,United Kingdom,Twin Room,4,October 2025,Couple,"As convenient a location as you can get, at an affordable price.","We chose this hotel for the location and it really is very well located for everything. We got a train from the airport and then it was a short walk to the hotel. At first our room, 511, seemed rather small and old, but I got used to it and quite liked it by the time we left. We thought that being in the atrium area near the elevator would be noisy, but not so. In the middle of the city so some noise from such as garbage trucks is inevitable but not intrusive. We noticed the quirky American cultural artefacts in the description before we booked but they had no influence on the booking. One important thing that I noted: not a spec of dust on any of those things; this is a very clean hotel. There was always somebody on reception and the staff were very friendly.","We had a twin room. So, if you have any privacy concerns with your companion, hence twin rather than double, you might be bothered by the bathroom arrangement. The bathroom is separated by a sliding glass door affair that gives no sound privacy at all. It did not trouble us, though. Our room was just about big enough, but I would not call it spacious. As it seemed to be directly underneath the bar on the 6th floor, we could sometimes hear what sounded like chairs being dragged across the floor, but it was only once or twice. I would definitely stay here again.",7.0,2025-10,2025,10,"We chose this hotel for the location and it really is very well located for everything. We got a train from the airport and then it was a short walk to the hotel. At first our room, 511, seemed rather small and old, but I got used to it and quite liked it by the time we left. We thought that being in the atrium area near the elevator would be noisy, but not so. In the middle of the city so some noise from such as garbage trucks is inevitable but not intrusive. We noticed the quirky American cultural artefacts in the description before we booked but they had no influence on the booking. One important thing that I noted: not a spec of dust on any of those things; this is a very clean hotel. There was always somebody on reception and the staff were very friendly. We had a twin room. So, if you have any privacy concerns with your companion, hence twin rather than double, you might be bothered by the bathroom arrangement. The bathroom is separated by a sliding glass door affair that gives no sound privacy at all. It did not trouble us, though. Our room was just about big enough, but I would not call it spacious. As it seemed to be directly underneath the bar on the 6th floor, we could sometimes hear what sounded like chairs being dragged across the floor, but it was only once or twice. I would definitely stay here again.",en,neutral
Kiellapa,Poland,Budget Double Room,2,November 2025,Couple,Vintage hotel with a unique style.,The vintage style and vibe. All the collected retro toys and bumper cars - this place definitely has a unique climate. They even have proper regular room keys with huge tags. It feels like being transported in time a bit or into a Wes Anderson movie.,Our room had literally no view. It was situated in a way that it had only high windows looking onto the roof and wall of another part of the building. I know that this is something you can't do anything about but the guest should at least know about this. I would book the room anyway but maybe someone else wouldn't.,8.0,2025-11,2025,11,The vintage style and vibe. All the collected retro toys and bumper cars - this place definitely has a unique climate. They even have proper regular room keys with huge tags. It feels like being transported in time a bit or into a Wes Anderson movie. Our room had literally no view. It was situated in a way that it had only high windows looking onto the roof and wall of another part of the building. I know that this is something you can't do anything about but the guest should at least know about this. I would book the room anyway but maybe someone else wouldn't.,en,positive
Ronald,Switzerland,Single Room,3,November 2025,Solo traveller,Good,They were able to help me even when the booking through booking.com had been canceled,The rooms are very small. The bathroom is too tiny,7.0,2025-11,2025,11,They were able to help me even when the booking through booking.com had been canceled The rooms are very small. The bathroom is too tiny,en,neutral
Marzena,Poland,Triple Room,3,November 2025,Family,"Great location, great breakfast to start your day in Porto","The location was fantastic for walking around the city, near the market and many beautiful places. The hotel is original and lovely, with great selection of food at breakfast and nice coffee.","The bathrooms look a bit outdated and could use some fixes. All in all, it wasn't bad.",9.0,2025-11,2025,11,"The location was fantastic for walking around the city, near the market and many beautiful places. The hotel is original and lovely, with great selection of food at breakfast and nice coffee. The bathrooms look a bit outdated and could use some fixes. All in all, it wasn't bad.",en,positive
Golan,United Kingdom,Budget Double Room,4,November 2025,Couple,"Excellent location, friendly, highly recommended if you're not planning to stay long in your room.","Excellent location, clean and tidy, welcoming and helpful staff, vintage style hotel (tired room)",Room is too simple,9.0,2025-11,2025,11,"Excellent location, clean and tidy, welcoming and helpful staff, vintage style hotel (tired room) Room is too simple",en,positive
David,United States,Budget Double Room,1,October 2025,Solo traveller,Superb,Great,Tub and floor a little slippery be careful!,9.0,2025-10,2025,10,Great Tub and floor a little slippery be careful!,en,positive
Graeme,Ireland,Budget Double Room,3,November 2025,Group,Staff helpfull Location and value for money were excelent.,Location was central next to restraraunts and historic town,Matress was fairly hard but didnt impact greatly on the stay. Room next to hotel Generator - Could be Noisy at night,9.0,2025-11,2025,11,Location was central next to restraraunts and historic town Matress was fairly hard but didnt impact greatly on the stay. Room next to hotel Generator - Could be Noisy at night,en,positive
Melanie,United Kingdom,Budget Double Room,5,November 2025,Couple,Superb,"The excellent location and comfortable accommodation, combined with the ideosyncratic style of the decor.",Nothing of significance!,9.0,2025-11,2025,11,"The excellent location and comfortable accommodation, combined with the ideosyncratic style of the decor. Nothing of significance!",en,positive
Alpay,Netherlands,Budget Double Room,4,November 2025,Couple,Perfect location,Perfect location near everything. The staff were very kind and friendly. Good value for the price.,The breakfast wasn't so good .,8.0,2025-11,2025,11,Perfect location near everything. The staff were very kind and friendly. Good value for the price. The breakfast wasn't so good .,en,positive
Emma,United Kingdom,Budget Double Room,3,November 2025,Couple,Superb,"Amazing memorabilia collection and interesting architectural design of building. Quite old fashioned in a way with a bit of Wes Anderson film vibe. A unique experience. Really good breakfast buffet including fresh fruit, croquettes and many different cakes and breads. Very well located near beautiful Sao Bento Station and many restaurants.","I would have liked to have known that they would make a pending payment of one night as deposit. Not explained on the Booking.com page so a surprise. I think I would have just paid in advance if I knew. Huge room, great shower but dim lighting.",9.0,2025-11,2025,11,"Amazing memorabilia collection and interesting architectural design of building. Quite old fashioned in a way with a bit of Wes Anderson film vibe. A unique experience. Really good breakfast buffet including fresh fruit, croquettes and many different cakes and breads. Very well located near beautiful Sao Bento Station and many restaurants. I would have liked to have known that they would make a pending payment of one night as deposit. Not explained on the Booking.com page so a surprise. I think I would have just paid in advance if I knew. Huge room, great shower but dim lighting.",en,positive
John,Canada,Budget Double Room,2,November 2025,Couple,Superb,All about location and on site visual delights of fascinating displays of various mechanical and electric devices.,,9.0,2025-11,2025,11,All about location and on site visual delights of fascinating displays of various mechanical and electric devices.,en,positive
Emma,United Kingdom,Budget Double Room,2,November 2025,Couple,Staff were ok,Very unusual Central to everything,,8.0,2025-11,2025,11,Very unusual Central to everything,en,positive
Elena,Italy,Budget Double Room,2,November 2025,Couple,Lovely stay,"The hotel is right in city centre, just few steps away from the main attractions. The room was cosy, we opted for a budget room so we were expecting a small room but actually was a decent size. The bed was really comfy, everything was spotless and the staff was super helpful. Overall we had a fantastic stay! The city is beautiful, tidy and everyone is very welcoming with a big smile in their face! Thank you Porto",Everything was perfect,9.0,2025-11,2025,11,"The hotel is right in city centre, just few steps away from the main attractions. The room was cosy, we opted for a budget room so we were expecting a small room but actually was a decent size. The bed was really comfy, everything was spotless and the staff was super helpful. Overall we had a fantastic stay! The city is beautiful, tidy and everyone is very welcoming with a big smile in their face! Thank you Porto Everything was perfect",en,positive
Sushel,United States,Budget Double Room,3,October 2025,Couple,Satisfied and would recommend,Helpful staff,,8.0,2025-10,2025,10,Helpful staff,da,positive
Dolly,United States,Triple Room,3,October 2025,Group,Very good,Great location !,"We had 3 girls in our party. The room was spacious, and as such could have used a table or vanity",8.0,2025-10,2025,10,"Great location ! We had 3 girls in our party. The room was spacious, and as such could have used a table or vanity",en,positive
